probe_id,gene_symbol,gene_name,entrez_id,ensembl_id
ILMN_1700611,CDK10,"Homo sapiens cyclin-dependent kinase (CDC2-like) 10 (CDK10), transcript variant 1, mRNA.",,
ILMN_1654153,BTBD11,"Homo sapiens BTB (POZ) domain containing 11 (BTBD11), transcript variant 1, mRNA.",,
ILMN_1705066,BTBD11,"Homo sapiens BTB (POZ) domain containing 11 (BTBD11), transcript variant 1, mRNA.",,
ILMN_1790026,SFRP5,"Homo sapiens secreted frizzled-related protein 5 (SFRP5), mRNA.",,
ILMN_1813671,SLC25A1,"Homo sapiens solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1 (SLC25A1), mRNA.",,
ILMN_1770885,COX17,"Homo sapiens COX17 cytochrome c oxidase assembly homolog (S. cerevisiae) (COX17), nuclear gene encoding mitochondrial protein, mRNA.",,
ILMN_1700633,ABHD4,"Homo sapiens abhydrolase domain containing 4 (ABHD4), mRNA.",,
ILMN_1752229,TIMM50,"Homo sapiens translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) (TIMM50), mRNA.",,
ILMN_1698978,AKAP4,"Homo sapiens A kinase (PRKA) anchor protein 4 (AKAP4), transcript variant 2, mRNA.",,
ILMN_1734794,AKAP4,"Homo sapiens A kinase (PRKA) anchor protein 4 (AKAP4), transcript variant 2, mRNA.",,
ILMN_1777794,PRKCSH,"Homo sapiens protein kinase C substrate 80K-H (PRKCSH), transcript variant 1, mRNA.",,
ILMN_1694731,CLCN7,"Homo sapiens chloride channel 7 (CLCN7), mRNA.",,
ILMN_1736828,CHST10,"Homo sapiens carbohydrate sulfotransferase 10 (CHST10), mRNA.",,
ILMN_1770663,KRT24,"Homo sapiens keratin 24 (KRT24), mRNA.",,
ILMN_1682864,SPSB3,"Homo sapiens splA/ryanodine receptor domain and SOCS box containing 3 (SPSB3), mRNA.",,
ILMN_1668532,GMEB2,"Homo sapiens glucocorticoid modulatory element binding protein 2 (GMEB2), mRNA.",,
ILMN_1660806,CSRP2,"Homo sapiens cysteine and glycine-rich protein 2 (CSRP2), mRNA.",,
ILMN_1754827,LRRC45,"PREDICTED: Homo sapiens leucine rich repeat containing 45 (LRRC45), mRNA.",,
ILMN_1655215,PGGT1B,"Homo sapiens protein geranylgeranyltransferase type I, beta subunit (PGGT1B), mRNA.",,
ILMN_1752622,PROX1,"Homo sapiens prospero-related homeobox 1 (PROX1), mRNA.",,
ILMN_1680856,CXORF6,"Homo sapiens chromosome X open reading frame 6 (CXorf6), mRNA.",,
ILMN_1738395,TPD52L3,"Homo sapiens tumor protein D52-like 3 (TPD52L3), transcript variant 2, mRNA.",,
ILMN_1796982,OR6C6,"Homo sapiens olfactory receptor, family 6, subfamily C, member 6 (OR6C6), mRNA.",,
ILMN_1726225,SERPINI2,"Homo sapiens serpin peptidase inhibitor, clade I (pancpin), member 2 (SERPINI2), mRNA.",,
ILMN_1758146,SIRPA,"Homo sapiens signal-regulatory protein alpha (SIRPA), transcript variant 1, mRNA.",,
ILMN_1802389,CXORF48,"Homo sapiens chromosome X open reading frame 48 (CXorf48), transcript variant 1, mRNA.",,
ILMN_1656802,LOXL2,"Homo sapiens lysyl oxidase-like 2 (LOXL2), mRNA.",,
ILMN_1676443,LOC401398,"Homo sapiens hypothetical protein LOC401398 (LOC401398), mRNA.",,
ILMN_1804339,CAMK1G,"Homo sapiens calcium/calmodulin-dependent protein kinase IG (CAMK1G), mRNA.",,
ILMN_1746378,GHDC,"Homo sapiens GH3 domain containing (GHDC), mRNA.",,
ILMN_1665403,ELA3B,"Homo sapiens elastase 3B, pancreatic (ELA3B), mRNA.",,
ILMN_1770811,PELO,"Homo sapiens pelota homolog (Drosophila) (PELO), mRNA.",,
ILMN_1813796,TMEM169,"Homo sapiens transmembrane protein 169 (TMEM169), mRNA.",,
ILMN_1761613,RASL10A,"Homo sapiens RAS-like, family 10, member A (RASL10A), transcript variant 2, mRNA.",,
ILMN_1702279,KIF3B,"Homo sapiens kinesin family member 3B (KIF3B), mRNA.",,
ILMN_1761348,ZNF530,"Homo sapiens zinc finger protein 530 (ZNF530), mRNA.",,
ILMN_1763136,C12ORF60,"Homo sapiens chromosome 12 open reading frame 60 (C12orf60), mRNA.",,
ILMN_1749011,NECAP2,"Homo sapiens NECAP endocytosis associated 2 (NECAP2), mRNA.",,
ILMN_1714108,TP53INP1,"Homo sapiens tumor protein p53 inducible nuclear protein 1 (TP53INP1), mRNA.",,
ILMN_1762561,PLA2G10,"Homo sapiens phospholipase A2, group X (PLA2G10), mRNA.",,
ILMN_1672635,GEFT,"Homo sapiens RAC/CDC42 exchange factor (GEFT), transcript variant 1, mRNA.",,
ILMN_1741027,GEFT,"Homo sapiens RAC/CDC42 exchange factor (GEFT), transcript variant 1, mRNA.",,
ILMN_1780663,KLHL30,"Homo sapiens kelch-like 30 (Drosophila) (KLHL30), mRNA.",,
ILMN_1665887,WDR61,"Homo sapiens WD repeat domain 61 (WDR61), mRNA.",,
ILMN_1797975,CXCR3,"Homo sapiens chemokine (C-X-C motif) receptor 3 (CXCR3), mRNA.",,
ILMN_1791078,SPRY3,"Homo sapiens sprouty homolog 3 (Drosophila) (SPRY3), mRNA.",,
ILMN_1720027,ZNF23,"Homo sapiens zinc finger protein 23 (KOX 16) (ZNF23), mRNA.",,
