sample_id,cohort,shap_CDH3,shap_DEPDC1B,shap_DGAT2,shap_ITIH1,shap_ITIH4,shap_JADE2,shap_LPAR2,shap_MCF2L2,shap_MCM10,shap_MED17,shap_MTHFD2,shap_OSBPL3,shap_OTC,shap_PACC1,shap_POLQ,shap_PON1,shap_RAD51,shap_SPA17,shap_SPDL1,shap_USH2A,base_value,predicted_label,tumor_probability,prediction_status,genes_imputed
GSM653052,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357514,-0.019961636771960292,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,0.024369297329448404,-0.02415535652329737,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,-0.025308337991462173,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.172,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653053,GSE26566,0.007934551654455443,-0.020223533295284722,-0.03445166866387596,-0.03556110293357514,-0.019961636771960292,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,0.024369297329448404,-0.02415535652329737,0.021769934799167792,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,-0.025308337991462173,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.232,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653054,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,0.024369297329448404,-0.02415535652329737,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.22,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653055,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.034451668663875966,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636353,0.024369297329448404,-0.02415535652329737,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.272,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653056,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387597,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636353,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.224,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653057,GSE26566,0.007934551654455443,-0.020223533295284722,-0.03445166866387596,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,0.024369297329448404,-0.02415535652329737,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,0.02998235252017238,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.292,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653058,GSE26566,-0.008065448345544558,-0.02022353329528472,-0.034451668663875966,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636357,0.024369297329448404,-0.02415535652329737,-0.02823006520083222,-0.005691059980677217,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,0.02998235252017238,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.244,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653059,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,-0.005691059980677216,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.146,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653060,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.034451668663875966,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,0.025658281455636353,0.024369297329448404,-0.02415535652329737,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.272,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653061,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.034451668663875966,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177934,0.025658281455636353,0.024369297329448404,-0.02415535652329737,0.029769934799167796,0.020308940019322784,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,0.03854121597036681,0.5040994421945802,0,0.352,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653062,GSE26566,-0.008065448345544558,-0.02022353329528472,-0.03445166866387596,-0.03556110293357514,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,0.024369297329448404,-0.02415535652329737,-0.028230065200832218,0.020308940019322784,-0.03616871113542197,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.04145878402963318,0.5040994421945802,0,0.162,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653063,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,-0.02169105998067721,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.13,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
GSM653064,GSE26566,-0.008065448345544558,-0.020223533295284722,-0.03445166866387596,-0.03556110293357513,-0.019961636771960285,-0.03222582148338304,-0.012656366585177933,-0.026341718544363648,-0.0236307026705516,-0.024155356523297367,0.029769934799167796,-0.02169105998067721,-0.03616871113542198,-0.022181575256273952,0.022691662008537835,-0.028046355362022293,-0.02601764747982763,0.011515109978286872,-0.02523865991970347,-0.041458784029633176,0.5040994421945802,0,0.13,Correct,JADE2;LPAR2;MED17;PACC1;SPDL1
