column,value,count
description,patient57,1
description,patient58,1
description,patient59,1
description,patient60,1
description,patient61,1
description,patient62,1
description,patient63,1
description,patient64,1
description,patient65,1
description,patient66,1
description,patient67,1
description,patient68,1
description,patient69,1
description,patient70,1
description,patient71,1
description,patient72,1
description,patient73,1
description,patient74,1
description,patient75,1
description,patient76,1
description,patient77,1
description,patient78,1
description,patient79,1
description,patient80,1
description,patient81,1
description,patient82,1
description,patient83,1
description,patient84,1
description,patient85,1
description,patient86,1
description,patient87,1
description,patient88,1
description,patient89,1
description,patient90,1
description,patient91,1
description,patient92,1
description,patient93,1
description,patient94,1
description,patient95,1
description,patient96,1
description,patient97,1
description,patient98,1
description,patient99,1
description,patient100,1
description,patient101,1
description,patient102,1
description,patient103,1
description,patient104,1
description,NB1,1
description,NB2,1
description,NB3,1
description,NB4,1
description,NB5,1
description,NB6,1
